panel,omega_r,omega_i,lambda_re,lambda_im
0,0.0005883638770500001,0.00316219064184,10.77624,-2.00505
0,-0.0,0.0028549579148400006,9.72924,0.0
0,-0.00180214736063,0.00267052144311,9.10071,6.14143
0,0.00180214736063,0.00267052144311,9.10071,-6.14143
0,-0.0005638674223700001,0.00258529443907,8.81027,1.92157
0,0.0005638674223700001,0.00258529443907,8.81027,-1.92157
0,-0.00056387035678,0.00258529443907,8.81027,1.92158
0,0.00056387035678,0.00258529443907,8.81027,-1.92158
0,-0.0012553787453300001,0.0025370967548200003,8.64602,4.27813
0,0.0012553787453300001,0.0025370967548200003,8.64602,-4.27813
0,-0.0,0.0024740920377100003,8.43131,0.0
0,-0.00118604744026,0.0023128109952900004,7.88169,4.04186
0,0.00118604744026,0.0023128109952900004,7.88169,-4.04186
0,-0.0008084387582300001,0.00231058671251,7.87411,2.75503
0,0.0008084387582300001,0.00231058671251,7.87411,-2.75503
0,-0.0,0.00227014173948,7.73628,0.0
0,-0.00112759105865,0.00222737271373,7.59053,3.84265
0,0.00112759105865,0.00222737271373,7.59053,-3.84265
